Start Date,Energy__kWh_,GHG_Savings__kg_,Gasoline_Savings__gallons_,Zip_Postal_Code,ObjectId
2018-01-01,-1.6913251541378376,-1.3211765315157797,-1.691338472755347,-1.8076527347445495,-1.0482345790874001
2018-01-02,-1.583376147789433,-1.2517460265491025,-1.5834199589671427,-1.7248169500778734,-1.048223319949684
2018-01-03,-1.6450724863537938,-1.2914184580973551,-1.6450653862214317,-1.6419739444489094,-1.0481951721053935
2018-01-04,-1.2678336517763757,-1.0487491688651513,-1.2677797649879052,-1.3934696851470045,-1.048076951159374
2018-01-05,-1.7260709651261472,-1.3435400836664204,-1.7260627957023833,-1.724814886945791,-1.048161394692245
2018-01-06,-1.4345900411531904,-1.1560372228782518,-1.434612579506474,-1.3934686535809633,-1.04794184150678
2018-01-07,-1.4552338318982179,-1.1693113634908052,-1.4552911089018998,-1.5591412544803567,-1.0479840632732156
2018-01-08,-1.5154807961597965,-1.2080688542736728,-1.5154539246146297,-1.724814886945791,-1.048093839865948
2018-01-09,-1.3064771044708152,-1.073632557877836,-1.3064837294412306,-1.3106287426501229,-1.0476462891417309
2018-01-10,-1.2943728704286643,-1.0658180637997114,-1.2942326761767708,-1.2277929579834468,-1.0473929585431174
2018-01-11,-1.1637137356468075,-0.981793503673696,-1.1636848283331949,-1.1449571733167707,-1.0470720731182068
2018-01-12,-1.2163025194707147,-1.0156013149061198,-1.216200489778937,-1.1449561417507295,-1.0443107695933196
2018-01-13,-1.4756817612509772,-1.1824655118718326,-1.4756575095517344,-1.5591412544803567,-1.04641904313067
2018-01-14,-1.6198945043777666,-1.2752195068413579,-1.6198609900149314,-1.5591422860463977,-1.0463740065798053
2018-01-15,-1.7148774865580418,-1.3363255507459255,-1.7149041930474929,-1.807648608480385,-1.0477645100877506
2018-01-16,-1.0664489682466125,-0.9192025559039954,-1.0663786918950962,-1.3934696851470045,-1.0453409806943479
2018-01-17,-1.315780520603536,-1.0795871723673092,-1.315769559622573,-1.2277857370211591,-1.0442178817071612
2018-01-18,-1.249785024478897,-1.03713992046502,-1.2497543299300058,-0.979272193624884,-1.0424164196725763
2018-01-19,-1.4132019771175455,-1.1422831133395948,-1.4131537282470696,-1.3106277110840818,-1.0443558061441842
2018-01-20,-1.4602968488883408,-1.1725511537420046,-1.4602851688313612,-1.3934665904488812,-1.0448005420839723
2018-01-21,-1.4483786831688443,-1.1649016489822281,-1.4483462443124926,-1.7248128238137088,-1.047069258333778
2018-01-22,-1.4329937708062077,-1.155002289881341,-1.4329739035921194,-1.39346555888284,-1.0446654324313784
2018-01-23,-0.8510601951697004,-0.780671524607337,-0.8510098574370748,-0.979281477719254,-1.0414256155535544
2018-01-24,-0.502368158515316,-0.5563610467985969,-0.5022840164251554,-1.062115199253848,-1.0417493157628939
2018-01-25,-1.290024747520319,-1.0630582424746156,-1.2900189381112879,-0.3994103537316992,-1.0350050922709162
2018-01-26,-1.0941927344613478,-0.9370663993724145,-1.0941581502527251,-0.730767934322979,-1.0340311768584687
2018-01-27,-1.316231001805752,-1.0798871529461238,-1.316315784927358,-1.0621131361217657,-1.0377523218736584
2018-01-28,-1.3376876173286907,-1.093686259571603,-1.3376966040003644,-1.3934614326186756,-1.0418112410203328
2018-01-29,-1.312519428422277,-1.0775173063734873,-1.312492207793864,-1.3106287426501229,-1.0406121428535622
2018-01-30,-1.4382036838405317,-1.1583620723640662,-1.4382020600807743,-1.1449447945242774,-1.038230835226595
2018-01-31,-1.3095619213990333,-1.0755974306690728,-1.309683049083542,-1.062115199253848,-1.0445894332517944
2018-02-01,-0.7296555111724977,-0.7025865799418539,-0.7295917754020452,-1.1449571733167707,-1.045349425047635
2018-02-02,-0.49631604149424075,-0.5524313012161236,-0.49635357025892024,-0.4822564540587863,-1.0421602742895337
2018-02-03,-1.203747804226348,-1.007516838307062,-1.2037933721416814,-1.22779605268157,-1.0450960944490215
2018-02-04,-1.5161565179631205,-1.2084888270840135,-1.5161562142922103,-1.6419749760149507,-1.0470129626451972
2018-02-05,-1.2745223183223218,-1.053068889200084,-1.2744905330181189,-1.39346555888284,-1.0451495753531732
2018-02-06,-1.2197203007657882,-1.0178361702182899,-1.2197899703532373,-1.0621100414236424,-1.0409893239670533
2018-02-07,-0.8763067286330214,-0.7969004739212158,-0.8762922858299727,-1.1449499523544828,-1.0414734668888481
2018-02-08,-0.6457680768641941,-0.6485900757551963,-0.6457852072107719,-0.3165694112348175,-1.0332092598051894
2018-02-09,-0.9200523705960368,-0.8250386522140407,-0.9200683423991578,-0.8964436299204956,-1.0396269683033985
2018-02-10,-1.4533437694628333,-1.1680964421466054,-1.4532622720555561,-1.5591422860463977,-1.0476125117285824
2018-02-11,-1.122827670010902,-0.9555002059405819,-1.12279596266073,-1.1449540786186474,-1.0466667441604254
2018-02-12,-0.6271808307379788,-0.6366058516315465,-0.62713551466169,-0.8964395036563313,-1.045788531418565
2018-02-13,-0.8468295890967157,-0.7779716993980041,-0.8468741515579896,-0.9792804461532129,-1.0456365330593969
2018-02-14,-1.2984859596662885,-1.0684578928932813,-1.298446414242254,-0.8964446614865368,-1.0450116509161502
2018-02-15,-0.7734697046228071,-0.7307397572636195,-0.773445864157628,-0.9792763198890485,-1.0387628294836835
2018-02-16,-0.8974107936498777,-0.8104745951125839,-0.8975170405301837,-0.8964446614865368,-1.03751306519719
2018-02-17,-0.9044911829803591,-0.8150342999105684,-0.9045399373059887,-1.1449540786186474,-1.0399281502373057
