Start Date,Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Number,Postal Code,Latitude,Longitude,Plug In Event Id,Driver Postal Code,User ID
2011-07-30,-1.3646623273859868,-1.3646641363545386,-1.3646283226768563,-1.4557505794418204,-1.427719112893106,-1.4277208774174086,1.427722030594266,-0.6724434944799255,-1.3671136890987563,-0.8269394641547985
2011-07-31,-1.2243174024600527,-1.2243117963014098,-1.2242741749708006,-1.7207316236617736,-1.6748440145086487,-1.6748403093595503,1.6748440511613207,-0.6724434944799255,-1.6242152769483444,-0.8359316509235117
2011-08-01,-1.772837989529205,-1.7728511270673417,-1.772783075541321,-1.985712667881727,-1.9219689161241913,-1.9219597413016922,1.9219660717283757,-0.6724435077213687,-1.8819879484761943,-0.8474548529604584
2011-08-02,-1.5823834990736536,-1.5823584514731035,-1.5824286119051307,-1.7207316236617736,-1.6748440145086487,-1.674840078373331,1.6748441442162012,-0.6724434937010171,-1.7529635690228509,-0.8438828340523338
2011-08-03,-1.3191992551633265,-1.3191927389407394,-1.3192476011533107,-1.4557505794418204,-1.427719112893106,-1.4277206464311891,1.4277221236491462,-0.67244346254468,-1.3670795198687022,-0.829745764082618
2011-08-04,-1.4330215025415305,-1.4330336303231441,-1.4331070162333444,-1.5882411015517972,-1.5512815637008772,-1.5512803624022602,1.5512831339326736,-0.672443467997039,-1.624144204949832,-0.8415923587779135
2011-08-05,-1.3218492908388393,-1.3218317039692187,-1.3218291392040515,-1.4557505794418204,-1.427719112893106,-1.4277205309380796,1.4277221701765868,-0.6724434485243284,-1.3654694657485549,-0.8286138897783976
2011-08-06,-0.6775529962549108,-0.6775588418624486,-0.6778033307561278,-1.190769535221867,-1.1805942112775634,-1.1806009835028282,1.1806001961369719,-0.6724434025687311,-1.103533615230918,-0.8198675883366933
2011-08-07,-1.6303546849268797,-1.6303470155294524,-1.6303908714794173,-1.8532221457717502,-1.79840646531642,-1.7983999098375116,1.7984051079722885,-0.6724434804595738,-1.7531029794814714,-0.8438774887191379
2011-08-08,-1.5501399290590439,-1.5501224786636778,-1.5499555806352885,-1.5882411015517972,-1.5512815637008772,-1.5512804778953697,1.5512830874052335,0.3501434092580613,-1.6222115932979742,-0.8376408212128837
2011-08-09,-1.5629674276756857,-1.5629519086482855,-1.5628632708889916,-1.4557505794418204,-1.427719112893106,-1.4277206464311891,1.4277221236491462,-0.672443409578907,-1.3659984054297918,-0.8285136647809754
2011-08-10,-1.6686410851962583,-1.6686729076353692,-1.6687063309693573,-1.8532221457717502,-1.79840646531642,-1.7983999098375116,1.7984051079722885,-0.6724434726704895,-1.7524646982640617,-0.8436716933910978
2011-08-11,-1.5549904640805075,-1.5549944141008707,-1.5549827863130463,-1.5882411015517972,-1.5512815637008772,-1.5512804778953697,1.5512830874052335,-0.6724434173679913,-1.4949394119618031,-0.8300731657408636
2011-08-12,-1.6309102151806747,-1.630915407997125,-1.63093435317431,-1.7207316236617736,-1.6748440145086487,-1.6748400783733308,1.6748441442162012,-0.6724434454086946,-1.6232489711224156,-0.8378853702065937
2011-08-13,-1.4924391455188688,-1.4923900437329432,-1.4923465209766553,-1.5882411015517972,-1.5512815637008772,-1.5512803624022602,1.5512831339326736,-0.6724434119156323,-1.4957020691766099,-0.8361922359168092
2011-08-14,-1.4736883326408539,-1.4736736917617275,-1.4737322729265785,-1.7207316236617736,-1.6748440145086487,-1.6748401938664406,1.674844097688761,-0.6724434306094345,-1.6242152769483444,-0.8382421711974165
2011-08-15,-1.5294775935136462,-1.529457352517585,-1.5294391466530866,-1.4557505794418204,-1.427719112893106,-1.4277204154449699,1.4277222167040269,-0.6724433753069362,-1.3657619543578177,-0.8286619977771601
2011-08-16,-1.3966206891675335,-1.396615912930128,-1.3965578722518062,-1.389505318386832,-1.3041566620853344,-1.304161045953228,1.3041610668381785,-0.6724433122153537,-1.3025160762969494,-0.820047993332053
2011-08-17,-1.4351715115384376,-1.4351854018079047,-1.4351450725891923,-1.5882411015517972,-1.5512815637008772,-1.5512802469091505,1.5512831804601137,-0.6724433753069362,-1.494686559659403,-0.8338736976431107
2011-08-18,-1.3987369015174285,-1.398686485490935,-1.3987317990313772,-1.3232600573318438,-1.1805942112775634,-1.1806013299821567,1.1806000565546508,-0.6724432273143353,-1.2365776629078213,-0.8208097033124613
2011-08-19,-1.3207561176585534,-1.3207761179578268,-1.3207421758142661,-1.3232600573318438,-1.3041566620853344,-1.304160814967009,1.304161159893059,-0.672443267038665,-1.2368742518246905,-0.8193731450160774
2011-08-20,-1.6431154257871874,-1.6431358460520837,-1.643162691309397,-1.7207316236617736,-1.6748440145086487,-1.6748401938664406,1.674844097688761,-0.6724433815382036,-1.6248330566277218,-0.8422738887603839
2011-08-21,-1.2012586254542637,-1.2012919013606738,-1.2013120733615814,-1.4557505794418204,-1.427719112893106,-1.4277205309380796,1.4277221701765868,-0.6724432958582768,-1.3668485358735367,-0.8293021014273628
2011-08-22,-1.6945599759255898,-1.694575364376444,-1.6946575819004865,-1.786976884716762,-1.6748440145086487,-1.6748401938664406,1.674844097688761,-0.6724433721913026,-1.6235769957309345,-0.8401036834828701
2011-08-23,-1.1144956754429047,-1.1145308511166654,-1.1144908726024625,-1.4557505794418204,-1.427719112893106,-1.4277205309380796,1.4277221701765868,-0.672443277943383,-1.3643159125419297,-0.8243670225542973
2011-08-24,-1.0478945397964397,-1.0479477334750307,-1.0477784945543762,-1.3232600573318438,-1.3041566620853344,-1.304160814967009,1.3041611598930591,-0.6724432117361667,-1.234573979257451,-0.8246730428797595
